id	text
800	a,n1gg@\0
801	a,nigar\0
802	a,nigga\0
803	a,nigge\0
804	a,niggy\0
805	a,nipps\0
806	a,nippy\0
807	a,nippy\0
808	a,penis\0
809	a,phuck\0
810	a,poopy\0
811	a,pussy\0
812	a,qu33r\0
813	a,queer\0
814	a,screw\0
815	a,sh13t\0
816	a,sh1t3\0
817	a,shiet\0
818	a,shiii\0
819	a,shiit\0
820	a,shite\0
821	a,slutz\0
822	a,spick\0
823	a,spook\0
824	u,ㄙㄞ你老母\0
825	u,ㄙㄞ你老師\0
826	u,超嫩老雞排\0
827	a,crap\0
828	a,cunt\0
829	a,cunt\0
830	a,cunz\0
831	a,d1ck\0
832	a,dick\0
833	a,dike\0
834	a,fock\0
835	a,fucd\0
836	a,fuck\0
837	a,fuck\0
838	a,fuck\0
839	a,fuck\0
840	a,fuck\0
841	a,fuck\0
842	a,fuck\0
843	a,fuck\0
844	a,fuck\0
845	a,fuck\0
846	a,fucq\0
847	a,fuct\0
848	a,fugm\0
849	a,fuhq\0
850	a,fuka\0
851	a,fukc\0
852	a,fukn\0
853	a,fuku\0
854	a,fuqn\0
855	a,fuqu\0
856	a,fuxk\0
857	a,g00k\0
858	a,gook\0
859	a,n1ga\0
860	a,shit\0
861	a,shlt\0
862	a,slit\0
863	a,slut\0
864	a,fuck\0
865	a,fuck\0
866	a,fuck\0
867	a,fuck\0
868	a,fuck\0
869	a,fuck\0
870	a,fuck\0
871	a,fuck\0
872	a,fuck\0
873	a,fuck\0
874	u,死 gm\0
875	u,死 gm\0
876	u,死 gm\0
877	u,死 gm\0
878	u,幹你老母\0
879	u,幹拎老母\0
880	u,幹妳老母\0
881	u,操你祖宗\0
882	u,操你祖宗\0
883	u,操妳祖宗\0
884	u,操妳祖宗\0
885	u,操你老媽\0
886	u,操你老母\0
887	u,肏你祖宗\0
888	u,肏你祖宗\0
889	u,肏妳祖宗\0
890	u,肏妳祖宗\0
891	u,肏你老媽\0
892	u,肏你老母\0
893	u,塞你老母\0
894	u,塞你老師\0
895	u,駛你老母\0
896	u,駛你老師\0
897	u,ㄙㄞ你娘\0
898	u,ㄙㄞ你爸\0
899	u,ㄙㄞ你母\0
900	u,ㄙㄞ你公\0
901	a,d1k\0
902	a,g@y\0
903	a,gay\0
904	u,死gm\0
905	u,死gm\0
906	u,死gm\0
907	u,死gm\0
908	u,幹七八\0
909	u,幹你娘\0
910	u,幹妳娘\0
911	u,幹拎娘\0
912	u,幹你媽\0
913	u,幹拎媽\0
914	u,幹妳媽\0
915	u,妳娘的\0
916	u,你媽的\0
917	u,妳媽的\0
918	u,你馬的\0
919	u,妳馬的\0
920	u,他媽的\0
921	u,他馬的\0
922	u,她馬的\0
923	u,她媽的\0
924	u,ㄊㄇㄉ\0
925	u,他ㄇㄉ\0
926	u,他ㄇ的\0
927	u,他媽ㄉ\0
928	u,操妳孃\0
929	u,操你孃\0
930	u,操你娘\0
931	u,操妳娘\0
932	u,操妳媽\0
933	u,操你媽\0
934	u,操ㄐㄅ\0
935	u,操雞ㄅ\0
936	u,操ㄐ巴\0
937	u,肏妳孃\0
938	u,肏你孃\0
939	u,肏你娘\0
940	u,肏妳娘\0
941	u,肏妳媽\0
942	u,肏你媽\0
943	u,肏ㄐㄅ\0
944	u,肏雞ㄅ\0
945	u,肏ㄐ巴\0
946	u,生殖器\0
947	u,塞你娘\0
948	u,塞你爸\0
949	u,塞你母\0
950	u,塞你公\0
951	u,駛你娘\0
952	u,駛你爸\0
953	u,駛你母\0
954	u,駛你公\0
955	u,被狗幹\0
956	u,給狗幹\0
957	u,陷家剷\0
958	u,含撚\0
959	u,食撚屎\0
960	u,戇鳩鳩\0
961	u,戇撚鳩\0
962	u,癡西線\0
963	u,恨撚死\0
964	u,ㄇㄉ\0
965	u,馬的\0
966	u,媽的\0
967	u,拎娘\0
968	u,操妳\0
969	u,肏妳\0
970	a,g8\0
971	a,g8\0
972	u,ㄐㄅ\0
973	u,ㄐ掰\0
974	u,ㄐ巴\0
975	u,ㄐ八\0
976	u,ㄐ8\0
977	u,機巴\0
978	u,雞巴\0
979	u,雞八\0
980	u,機八\0
981	u,雞8\0
982	u,機8\0
983	u,雞叭\0
984	u,雞芭\0
985	u,小穴\0
986	u,淫穴\0
987	u,奶頭\0
988	u,龜頭\0
989	u,乳頭\0
990	u,陰莖\0
991	u,睪丸\0
992	u,陰囊\0
993	u,陰核\0
994	u,陰唇\0
995	u,淫叫\0
996	u,浪叫\0
997	u,懶叫\0
998	u,懶教\0
999	u,肏\0
1000	u,屄\0
1001	u,仆街\0
1002	u,屌西\0
1003	u,老味\0
1004	u,屌你\0
1005	u,屌妳\0
1006	u,屌鳩\0
1007	u,屌七\0
1008	u,屌7\0
1009	u,屌妳\0
1010	u,個西\0
1011	u,戇鳩\0
1012	u,舔西\0
1013	u,姣西\0
1014	u,淫西\0
1015	u,肥西\0
1016	u,臭西\0
1017	u,食西\0
1018	u,七碌\0
1019	u,乜撚\0
